# 260406_15:01:41.386051
t	CH1	CH2
0.000000e+00	-4.638600e-03	3.153120e-01
1.000000e-08	-4.015597e-03	3.416401e-02
2.000000e-08	8.407149e-04	-1.042357e-01
3.000000e-08	1.545743e-03	-2.835818e-01
4.000000e-08	-9.033135e-04	-3.894788e-01
5.000000e-08	1.653688e-03	-6.203965e-01
6.000000e-08	-2.060816e-03	-8.185001e-01
7.000000e-08	-1.132435e-05	-9.773896e-01
8.000000e-08	7.891544e-04	-1.143238e+00
9.000000e-08	1.943080e-02	-1.291257e+00
1.000000e-07	7.793461e-02	-1.493188e+00
1.100000e-07	-1.368506e-02	-1.766290e+00
1.200000e-07	-3.704446e-02	-2.037447e+00
1.300000e-07	-4.174768e-02	-2.301101e+00
1.400000e-07	-8.317462e-02	-2.409025e+00
1.500000e-07	1.187650e-01	-2.410504e+00
1.600000e-07	2.624688e-02	-2.587367e+00
1.700000e-07	-1.260575e-01	-2.838945e+00
1.800000e-07	1.587887e-01	-2.943782e+00
1.900000e-07	-7.024127e-02	-3.152729e+00
2.000000e-07	-8.640129e-02	-3.385365e+00
2.100000e-07	1.470998e-01	-3.462659e+00
2.200000e-07	-7.526392e-02	-3.660500e+00
2.300000e-07	-6.685920e-03	-3.881578e+00
2.400000e-07	1.144777e-01	-4.040450e+00
2.500000e-07	-1.209700e-01	-4.239975e+00
2.600000e-07	8.626746e-02	-4.376918e+00
2.700000e-07	-3.613953e-02	-4.534212e+00
2.800000e-07	-3.677379e-02	-4.816387e+00
2.900000e-07	1.105816e-01	-4.850609e+00
3.000000e-07	-8.692027e-02	-5.041501e+00
3.100000e-07	5.074443e-02	-5.248027e+00
3.200000e-07	2.843262e-02	-5.438573e+00
3.300000e-07	-1.527514e-02	-5.640004e+00
3.400000e-07	3.907412e-02	-5.787817e+00
3.500000e-07	-6.719904e-02	-5.934809e+00
3.600000e-07	7.884201e-02	-6.070978e+00
3.700000e-07	-9.765557e-03	-6.209900e+00
3.800000e-07	-1.477588e-02	-6.407894e+00
3.900000e-07	6.958049e-02	-6.548289e+00
4.000000e-07	-4.297808e-02	-6.683153e+00
4.100000e-07	3.942911e-02	-6.759847e+00
4.200000e-07	-2.684293e-02	-6.894757e+00
4.300000e-07	3.645405e-02	-7.134780e+00
4.400000e-07	4.326019e-02	-7.230499e+00
4.500000e-07	-3.548388e-02	-7.357364e+00
4.600000e-07	3.351794e-02	-7.491683e+00
4.700000e-07	-2.234632e-03	-7.620424e+00
4.800000e-07	3.567315e-02	-7.706316e+00
4.900000e-07	-5.489242e-03	-7.933187e+00
5.000000e-07	1.316513e-02	-8.012499e+00
5.100000e-07	3.601923e-02	-8.187261e+00
5.200000e-07	-5.824259e-03	-8.269556e+00
5.300000e-07	2.348478e-02	-8.335285e+00
5.400000e-07	6.349672e-03	-8.432074e+00
5.500000e-07	3.145039e-02	-8.567313e+00
5.600000e-07	-3.743016e-04	-8.672180e+00
5.700000e-07	1.576551e-02	-8.799467e+00
5.800000e-07	2.893232e-02	-8.883181e+00
5.900000e-07	1.466847e-02	-8.968290e+00
6.000000e-07	1.651186e-02	-9.050480e+00
6.100000e-07	1.350685e-02	-9.115811e+00
6.200000e-07	2.945855e-02	-9.198962e+00
6.300000e-07	1.332212e-02	-9.252501e+00
6.400000e-07	1.810368e-02	-9.296761e+00
6.500000e-07	2.393686e-02	-9.410472e+00
6.600000e-07	2.331405e-02	-9.505209e+00
6.700000e-07	1.675902e-02	-9.579990e+00
6.800000e-07	2.126590e-02	-9.649524e+00
6.900000e-07	2.810294e-02	-9.672127e+00
7.000000e-07	2.044070e-02	-9.694811e+00
7.100000e-07	2.281724e-02	-9.758267e+00
7.200000e-07	2.394938e-02	-9.789495e+00
7.300000e-07	2.682672e-02	-9.851628e+00
7.400000e-07	2.030581e-02	-9.885079e+00
7.500000e-07	2.492679e-02	-9.896208e+00
7.600000e-07	2.714597e-02	-9.925837e+00
7.700000e-07	2.455309e-02	-9.947389e+00
7.800000e-07	2.451985e-02	-9.929421e+00
7.900000e-07	2.952549e-02	-9.947442e+00
8.000000e-07	2.980906e-02	-9.970496e+00
8.100000e-07	2.623435e-02	-1.001995e+01
8.200000e-07	2.813619e-02	-1.001098e+01
8.300000e-07	3.009980e-02	-1.004348e+01
8.400000e-07	3.052660e-02	-1.002100e+01
8.500000e-07	2.804190e-02	-1.001248e+01
8.600000e-07	3.125099e-02	-1.005248e+01
8.700000e-07	3.258825e-02	-1.003005e+01
