# Temperatura_=_64.23
# Concentracion g/m^3_=_24000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301597.6127136423

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.269997e-06	-1.833688e-08	-3.834166e+01	-1.198803e+03
1.000000e-08	-5.267677e-06	-1.833105e-08	-3.832478e+01	-1.198382e+03
2.000000e-08	-5.263561e-06	-1.832116e-08	-3.829484e+01	-1.197753e+03
3.000000e-08	-5.257829e-06	-1.830761e-08	-3.825313e+01	-1.196905e+03
4.000000e-08	-5.250537e-06	-1.828776e-08	-3.820008e+01	-1.195820e+03
5.000000e-08	-5.241544e-06	-1.826382e-08	-3.813466e+01	-1.194480e+03
6.000000e-08	-5.230512e-06	-1.824021e-08	-3.805439e+01	-1.192872e+03
7.000000e-08	-5.217561e-06	-1.821624e-08	-3.796017e+01	-1.190996e+03
8.000000e-08	-5.202636e-06	-1.818581e-08	-3.785158e+01	-1.188862e+03
9.000000e-08	-5.185478e-06	-1.816891e-08	-3.772674e+01	-1.186497e+03
1.000000e-07	-5.166270e-06	-1.813992e-08	-3.758700e+01	-1.183942e+03
1.100000e-07	-5.145223e-06	-1.807839e-08	-3.743387e+01	-1.181243e+03
1.200000e-07	-5.122483e-06	-1.801775e-08	-3.726843e+01	-1.178446e+03
1.300000e-07	-5.098354e-06	-1.795750e-08	-3.709288e+01	-1.175589e+03
1.400000e-07	-5.072697e-06	-1.790547e-08	-3.690621e+01	-1.172692e+03
1.500000e-07	-5.045308e-06	-1.790299e-08	-3.670695e+01	-1.169751e+03
1.600000e-07	-5.016473e-06	-1.784305e-08	-3.649716e+01	-1.166743e+03
1.700000e-07	-4.986137e-06	-1.778083e-08	-3.627645e+01	-1.163618e+03
1.800000e-07	-4.953891e-06	-1.775698e-08	-3.604184e+01	-1.160316e+03
1.900000e-07	-4.919649e-06	-1.764668e-08	-3.579272e+01	-1.156768e+03
2.000000e-07	-4.883819e-06	-1.756822e-08	-3.553204e+01	-1.152910e+03
2.100000e-07	-4.846395e-06	-1.752842e-08	-3.525976e+01	-1.148693e+03
2.200000e-07	-4.807260e-06	-1.745139e-08	-3.497504e+01	-1.144086e+03
2.300000e-07	-4.766339e-06	-1.740731e-08	-3.467732e+01	-1.139080e+03
2.400000e-07	-4.723465e-06	-1.732113e-08	-3.436539e+01	-1.133689e+03
2.500000e-07	-4.678780e-06	-1.717317e-08	-3.404029e+01	-1.127942e+03
2.600000e-07	-4.632305e-06	-1.708011e-08	-3.370216e+01	-1.121876e+03
2.700000e-07	-4.583973e-06	-1.698970e-08	-3.335052e+01	-1.115530e+03
2.800000e-07	-4.533645e-06	-1.690500e-08	-3.298436e+01	-1.108938e+03
2.900000e-07	-4.481305e-06	-1.681228e-08	-3.260357e+01	-1.102122e+03
3.000000e-07	-4.427237e-06	-1.669249e-08	-3.221020e+01	-1.095091e+03
3.100000e-07	-4.371662e-06	-1.658689e-08	-3.180586e+01	-1.087842e+03
3.200000e-07	-4.314353e-06	-1.647549e-08	-3.138891e+01	-1.080364e+03
3.300000e-07	-4.255329e-06	-1.635009e-08	-3.095948e+01	-1.072643e+03
3.400000e-07	-4.194897e-06	-1.622181e-08	-3.051981e+01	-1.064664e+03
3.500000e-07	-4.133059e-06	-1.610354e-08	-3.006991e+01	-1.056416e+03
3.600000e-07	-4.069848e-06	-1.597460e-08	-2.961003e+01	-1.047894e+03
3.700000e-07	-4.005285e-06	-1.583868e-08	-2.914030e+01	-1.039102e+03
3.800000e-07	-3.939071e-06	-1.571577e-08	-2.865856e+01	-1.030044e+03
3.900000e-07	-3.871212e-06	-1.556533e-08	-2.816485e+01	-1.020728e+03
4.000000e-07	-3.802110e-06	-1.539911e-08	-2.766211e+01	-1.011163e+03
4.100000e-07	-3.731822e-06	-1.525290e-08	-2.715073e+01	-1.001352e+03
4.200000e-07	-3.660387e-06	-1.510912e-08	-2.663101e+01	-9.912958e+02
4.300000e-07	-3.587700e-06	-1.496583e-08	-2.610218e+01	-9.809893e+02
4.400000e-07	-3.513403e-06	-1.480974e-08	-2.556163e+01	-9.704258e+02
4.500000e-07	-3.437538e-06	-1.463309e-08	-2.500968e+01	-9.595964e+02
4.600000e-07	-3.360383e-06	-1.444459e-08	-2.444833e+01	-9.484928e+02
4.700000e-07	-3.281981e-06	-1.426442e-08	-2.387793e+01	-9.371080e+02
4.800000e-07	-3.202239e-06	-1.410144e-08	-2.329777e+01	-9.254375e+02
4.900000e-07	-3.121203e-06	-1.392625e-08	-2.270819e+01	-9.134790e+02
5.000000e-07	-3.039009e-06	-1.373714e-08	-2.211019e+01	-9.012317e+02
5.100000e-07	-2.955832e-06	-1.353918e-08	-2.150504e+01	-8.886954e+02
5.200000e-07	-2.871836e-06	-1.333880e-08	-2.089393e+01	-8.758692e+02
5.300000e-07	-2.786973e-06	-1.313525e-08	-2.027651e+01	-8.627510e+02
5.400000e-07	-2.701198e-06	-1.293170e-08	-1.965247e+01	-8.493371e+02
5.500000e-07	-2.614533e-06	-1.272726e-08	-1.902193e+01	-8.356223e+02
