# Temperatura_=_63.46
# Concentracion g/m^3_=_26700.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301964.7923637068

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.679366e-06	-2.293467e-08	-4.748236e+01	-1.501117e+03
1.000000e-08	-6.677622e-06	-2.292912e-08	-4.746996e+01	-1.500710e+03
2.000000e-08	-6.673539e-06	-2.292050e-08	-4.744094e+01	-1.500129e+03
3.000000e-08	-6.667367e-06	-2.290924e-08	-4.739706e+01	-1.499353e+03
4.000000e-08	-6.659127e-06	-2.289304e-08	-4.733848e+01	-1.498352e+03
5.000000e-08	-6.648553e-06	-2.286977e-08	-4.726331e+01	-1.497095e+03
6.000000e-08	-6.635502e-06	-2.284345e-08	-4.717054e+01	-1.495564e+03
7.000000e-08	-6.620053e-06	-2.281209e-08	-4.706071e+01	-1.493758e+03
8.000000e-08	-6.602278e-06	-2.277832e-08	-4.693436e+01	-1.491699e+03
9.000000e-08	-6.582264e-06	-2.276802e-08	-4.679208e+01	-1.489427e+03
1.000000e-07	-6.559846e-06	-2.276732e-08	-4.663271e+01	-1.487000e+03
1.100000e-07	-6.534725e-06	-2.271932e-08	-4.645414e+01	-1.484478e+03
1.200000e-07	-6.507019e-06	-2.264034e-08	-4.625718e+01	-1.481913e+03
1.300000e-07	-6.477181e-06	-2.256678e-08	-4.604506e+01	-1.479338e+03
1.400000e-07	-6.445633e-06	-2.249468e-08	-4.582079e+01	-1.476760e+03
1.500000e-07	-6.412239e-06	-2.246879e-08	-4.558341e+01	-1.474152e+03
1.600000e-07	-6.376699e-06	-2.247165e-08	-4.533075e+01	-1.471460e+03
1.700000e-07	-6.339147e-06	-2.240585e-08	-4.506381e+01	-1.468606e+03
1.800000e-07	-6.299523e-06	-2.236024e-08	-4.478212e+01	-1.465504e+03
1.900000e-07	-6.257474e-06	-2.229013e-08	-4.448321e+01	-1.462071e+03
2.000000e-07	-6.213178e-06	-2.216644e-08	-4.416832e+01	-1.458238e+03
2.100000e-07	-6.166763e-06	-2.211512e-08	-4.383836e+01	-1.453962e+03
2.200000e-07	-6.117781e-06	-2.206324e-08	-4.349016e+01	-1.449231e+03
2.300000e-07	-6.066055e-06	-2.202012e-08	-4.312244e+01	-1.444060e+03
2.400000e-07	-6.011840e-06	-2.195432e-08	-4.273704e+01	-1.438490e+03
2.500000e-07	-5.955458e-06	-2.182474e-08	-4.233623e+01	-1.432578e+03
2.600000e-07	-5.896803e-06	-2.171867e-08	-4.191926e+01	-1.426382e+03
2.700000e-07	-5.835837e-06	-2.160493e-08	-4.148587e+01	-1.419954e+03
2.800000e-07	-5.772841e-06	-2.149736e-08	-4.103804e+01	-1.413330e+03
2.900000e-07	-5.707792e-06	-2.142526e-08	-4.057562e+01	-1.406523e+03
3.000000e-07	-5.640524e-06	-2.133901e-08	-4.009743e+01	-1.399526e+03
3.100000e-07	-5.571057e-06	-2.122693e-08	-3.960360e+01	-1.392313e+03
3.200000e-07	-5.499597e-06	-2.110064e-08	-3.909560e+01	-1.384847e+03
3.300000e-07	-5.426153e-06	-2.098219e-08	-3.857350e+01	-1.377088e+03
3.400000e-07	-5.350505e-06	-2.083643e-08	-3.803574e+01	-1.369002e+03
3.500000e-07	-5.272680e-06	-2.069407e-08	-3.748249e+01	-1.360570e+03
3.600000e-07	-5.192682e-06	-2.057847e-08	-3.691380e+01	-1.351787e+03
3.700000e-07	-5.110718e-06	-2.044950e-08	-3.633113e+01	-1.342661e+03
3.800000e-07	-5.027152e-06	-2.031935e-08	-3.573708e+01	-1.333213e+03
3.900000e-07	-4.941975e-06	-2.016657e-08	-3.513157e+01	-1.323468e+03
4.000000e-07	-4.855141e-06	-1.999171e-08	-3.451428e+01	-1.313446e+03
4.100000e-07	-4.766758e-06	-1.981111e-08	-3.388599e+01	-1.303157e+03
4.200000e-07	-4.676652e-06	-1.965010e-08	-3.324544e+01	-1.292597e+03
4.300000e-07	-4.584800e-06	-1.951099e-08	-3.259248e+01	-1.281747e+03
