# 260406_15:31:43.483383
t	CH1	CH2
0.000000e+00	-1.032837e-02	2.416998e+00
1.000000e-08	-9.526933e-03	2.112361e+00
2.000000e-08	-8.779724e-03	1.851754e+00
3.000000e-08	-7.580241e-03	1.525942e+00
4.000000e-08	-6.667368e-03	1.230678e+00
5.000000e-08	-5.699278e-03	9.233135e-01
6.000000e-08	-6.377997e-03	6.276518e-01
7.000000e-08	-5.029322e-03	3.895225e-01
8.000000e-08	-3.143883e-03	5.328183e-02
9.000000e-08	2.799848e-03	-2.104273e-01
1.000000e-07	5.892705e-03	-4.726013e-01
1.100000e-07	-3.877097e-03	-7.567946e-01
1.200000e-07	5.387306e-03	-9.904236e-01
1.300000e-07	-2.097124e-03	-1.294112e+00
1.400000e-07	2.832254e-03	-1.578799e+00
1.500000e-07	6.782042e-03	-1.808875e+00
1.600000e-07	4.741027e-02	-1.999926e+00
1.700000e-07	1.106677e-01	-2.327193e+00
1.800000e-07	-1.055370e-01	-2.735138e+00
1.900000e-07	1.082374e-02	-3.103144e+00
2.000000e-07	-4.415267e-02	-3.378296e+00
2.100000e-07	-7.723904e-03	-3.567346e+00
2.200000e-07	-1.154885e-01	-3.788876e+00
2.300000e-07	1.940039e-01	-3.988296e+00
2.400000e-07	-7.193252e-02	-4.209477e+00
2.500000e-07	-2.153717e-02	-4.522187e+00
2.600000e-07	1.712367e-01	-4.734643e+00
2.700000e-07	-2.096167e-01	-5.090984e+00
2.800000e-07	1.900391e-01	-5.353189e+00
2.900000e-07	-1.019830e-01	-5.659905e+00
3.000000e-07	4.094435e-02	-5.902589e+00
3.100000e-07	1.007952e-01	-6.105687e+00
3.200000e-07	-1.440630e-01	-6.481963e+00
3.300000e-07	1.587210e-01	-6.724614e+00
3.400000e-07	-1.105122e-01	-7.016826e+00
3.500000e-07	8.537132e-02	-7.300912e+00
3.600000e-07	-1.063612e-02	-7.524165e+00
3.700000e-07	-2.153152e-02	-7.837950e+00
3.800000e-07	1.275392e-01	-8.060409e+00
3.900000e-07	-1.111913e-01	-8.313168e+00
4.000000e-07	1.318448e-01	-8.573722e+00
4.100000e-07	-6.644427e-02	-8.808855e+00
4.200000e-07	5.813893e-02	-9.029931e+00
4.300000e-07	-9.082283e-03	-9.258953e+00
4.400000e-07	1.369019e-02	-9.530088e+00
4.500000e-07	7.413015e-02	-9.733064e+00
4.600000e-07	-3.163920e-02	-9.924088e+00
4.700000e-07	6.602222e-02	-1.013414e+01
4.800000e-07	-4.035416e-02	-1.039219e+01
4.900000e-07	8.417814e-02	-1.058629e+01
5.000000e-07	-2.359721e-02	-1.074317e+01
5.100000e-07	5.725807e-02	-1.096414e+01
5.200000e-07	7.779711e-03	-1.114265e+01
5.300000e-07	3.549240e-02	-1.136370e+01
5.400000e-07	1.083416e-02	-1.154109e+01
5.500000e-07	3.041468e-02	-1.176314e+01
5.600000e-07	4.640367e-02	-1.196112e+01
5.700000e-07	1.306231e-02	-1.216264e+01
5.800000e-07	3.663594e-02	-1.228054e+01
5.900000e-07	1.851713e-02	-1.249796e+01
6.000000e-07	5.569256e-02	-1.263633e+01
6.100000e-07	1.054029e-02	-1.280325e+01
6.200000e-07	4.862288e-02	-1.294477e+01
6.300000e-07	2.546645e-02	-1.309011e+01
6.400000e-07	4.768668e-02	-1.329640e+01
6.500000e-07	2.380047e-02	-1.343627e+01
6.600000e-07	4.995253e-02	-1.354009e+01
6.700000e-07	4.251815e-02	-1.369801e+01
6.800000e-07	4.111372e-02	-1.381477e+01
6.900000e-07	3.904135e-02	-1.398017e+01
7.000000e-07	4.908254e-02	-1.406541e+01
7.100000e-07	5.160678e-02	-1.420330e+01
7.200000e-07	4.278324e-02	-1.432009e+01
7.300000e-07	5.150595e-02	-1.444319e+01
7.400000e-07	5.175533e-02	-1.449106e+01
7.500000e-07	5.778234e-02	-1.460430e+01
7.600000e-07	5.451535e-02	-1.467853e+01
7.700000e-07	6.076187e-02	-1.473916e+01
7.800000e-07	5.805962e-02	-1.479287e+01
7.900000e-07	5.977612e-02	-1.486848e+01
8.000000e-07	6.253586e-02	-1.492866e+01
8.100000e-07	6.930980e-02	-1.499327e+01
8.200000e-07	6.734878e-02	-1.505690e+01
8.300000e-07	7.150740e-02	-1.504753e+01
8.400000e-07	7.346809e-02	-1.510807e+01
8.500000e-07	7.600808e-02	-1.517015e+01
8.600000e-07	7.744994e-02	-1.517125e+01
8.700000e-07	8.320211e-02	-1.519175e+01
8.800000e-07	8.745186e-02	-1.523238e+01
8.900000e-07	8.689636e-02	-1.522543e+01
9.000000e-07	9.011063e-02	-1.524440e+01
9.100000e-07	9.355063e-02	-1.522340e+01
9.200000e-07	9.747129e-02	-1.526640e+01
9.300000e-07	9.805820e-02	-1.523541e+01
9.400000e-07	1.038539e-01	-1.522390e+01
9.500000e-07	1.104191e-01	-1.527238e+01
9.600000e-07	1.152206e-01	-1.517223e+01
9.700000e-07	1.201945e-01	-1.514075e+01
9.800000e-07	1.267519e-01	-1.512922e+01
9.900000e-07	1.353721e-01	-1.507811e+01
1.000000e-06	1.447751e-01	-1.507392e+01
1.010000e-06	1.540582e-01	-1.496482e+01
1.020000e-06	1.631970e-01	-1.494914e+01
1.030000e-06	1.704976e-01	-1.490811e+01
1.040000e-06	1.729571e-01	-1.480382e+01
1.050000e-06	1.731852e-01	-1.475066e+01
1.060000e-06	1.675755e-01	-1.463500e+01
1.070000e-06	1.603634e-01	-1.456279e+01
1.080000e-06	1.532841e-01	-1.445748e+01
1.090000e-06	1.428887e-01	-1.436924e+01
1.100000e-06	1.333978e-01	-1.426748e+01
1.110000e-06	1.216255e-01	-1.415919e+01
1.120000e-06	1.130785e-01	-1.403437e+01
1.130000e-06	1.045647e-01	-1.388701e+01
1.140000e-06	9.642702e-02	-1.374079e+01
1.150000e-06	9.037194e-02	-1.364548e+01
1.160000e-06	8.434362e-02	-1.350716e+01
1.170000e-06	7.862442e-02	-1.335176e+01
1.180000e-06	7.165251e-02	-1.325485e+01
1.190000e-06	6.712124e-02	-1.305863e+01
1.200000e-06	6.340731e-02	-1.296229e+01
1.210000e-06	6.035346e-02	-1.277290e+01
1.220000e-06	5.645980e-02	-1.267848e+01
1.230000e-06	5.321778e-02	-1.250964e+01
1.240000e-06	5.007414e-02	-1.232171e+01
1.250000e-06	4.845065e-02	-1.219320e+01
1.260000e-06	4.465270e-02	-1.199239e+01
1.270000e-06	4.204598e-02	-1.181437e+01
1.280000e-06	3.866876e-02	-1.160337e+01
1.290000e-06	3.739219e-02	-1.138132e+01
1.300000e-06	3.620614e-02	-1.111229e+01
1.310000e-06	3.337847e-02	-1.093284e+01
1.320000e-06	3.100801e-02	-1.076437e+01
1.330000e-06	3.022834e-02	-1.055389e+01
1.340000e-06	2.936392e-02	-1.032179e+01
1.350000e-06	2.684807e-02	-1.015063e+01
1.360000e-06	2.518498e-02	-9.940161e+00
1.370000e-06	2.465002e-02	-9.691236e+00
1.380000e-06	2.317268e-02	-9.471162e+00
1.390000e-06	2.118877e-02	-9.237005e+00
1.400000e-06	1.919693e-02	-9.005474e+00
1.410000e-06	1.918084e-02	-8.792997e+00
1.420000e-06	1.871792e-02	-8.571941e+00
1.430000e-06	1.634469e-02	-8.310685e+00
1.440000e-06	1.551287e-02	-8.079208e+00
1.450000e-06	1.437351e-02	-7.777046e+00
1.460000e-06	1.551124e-02	-7.501742e+00
1.470000e-06	1.356566e-02	-7.291254e+00
1.480000e-06	1.179474e-02	-7.038579e+00
1.490000e-06	1.121048e-02	-6.775870e+00
1.500000e-06	1.111063e-02	-6.551312e+00
1.510000e-06	9.398519e-03	-6.290209e+00
1.520000e-06	7.496127e-03	-6.017474e+00
1.530000e-06	8.377697e-03	-5.744345e+00
1.540000e-06	4.917230e-03	-5.505288e+00
1.550000e-06	1.061121e-02	-5.227019e+00
1.560000e-06	2.782919e-03	-4.912287e+00
1.570000e-06	9.528032e-03	-4.566946e+00
1.580000e-06	5.491200e-03	-4.386421e+00
1.590000e-06	5.023580e-03	-4.122809e+00
1.600000e-06	2.290408e-03	-3.827924e+00
1.610000e-06	3.484704e-04	-3.563819e+00
1.620000e-06	2.981137e-03	-3.270254e+00
1.630000e-06	6.017397e-04	-2.964444e+00
1.640000e-06	4.221293e-04	-2.703317e+00
1.650000e-06	2.878433e-04	-2.419099e+00
1.660000e-06	6.935704e-04	-2.115290e+00
1.670000e-06	-6.822825e-04	-1.891207e+00
1.680000e-06	-2.063996e-03	-1.627546e+00
1.690000e-06	-3.558897e-03	-1.220628e+00
1.700000e-06	-2.388599e-03	-9.644423e-01
1.710000e-06	-3.369459e-03	-7.111355e-01
1.720000e-06	-3.161560e-03	-3.879201e-01
1.730000e-06	-6.429788e-03	-8.526079e-02
1.740000e-06	5.408888e-04	1.598507e-01
1.750000e-06	7.432025e-03	4.535577e-01
1.760000e-06	-7.327678e-03	6.862132e-01
1.770000e-06	3.730128e-03	9.778683e-01
1.780000e-06	-7.054386e-03	1.242637e+00
1.790000e-06	1.071782e-03	1.558268e+00
1.800000e-06	-1.050496e-02	1.880953e+00
1.810000e-06	1.562246e-02	2.052008e+00
1.820000e-06	4.167407e-02	2.335163e+00
1.830000e-06	7.428179e-02	2.672980e+00
1.840000e-06	-1.070768e-01	2.938267e+00
1.850000e-06	-1.340968e-02	3.208405e+00
1.860000e-06	-4.672216e-02	3.515194e+00
1.870000e-06	-5.257476e-03	3.796897e+00
1.880000e-06	-8.310348e-02	3.946401e+00
1.890000e-06	5.893068e-02	4.176395e+00
1.900000e-06	8.734695e-02	4.503086e+00
1.910000e-06	-1.780764e-01	4.746290e+00
1.920000e-06	1.668245e-01	5.029326e+00
1.930000e-06	-1.055061e-01	5.386743e+00
1.940000e-06	-1.074047e-02	5.629477e+00
1.950000e-06	2.775384e-02	5.876090e+00
1.960000e-06	-4.777544e-02	6.175291e+00
1.970000e-06	3.179106e-02	6.386375e+00
1.980000e-06	-5.537871e-02	6.732588e+00
1.990000e-06	1.445349e-02	6.944691e+00
2.000000e-06	-2.036708e-02	7.227901e+00
2.010000e-06	-3.208135e-02	7.493614e+00
2.020000e-06	-6.700680e-03	7.805872e+00
2.030000e-06	-4.062081e-02	8.069480e+00
2.040000e-06	4.646802e-02	8.323714e+00
2.050000e-06	-5.333662e-02	8.553688e+00
2.060000e-06	-1.994090e-02	8.743719e+00
2.070000e-06	7.342319e-04	9.006372e+00
2.080000e-06	-4.145193e-02	9.257950e+00
2.090000e-06	-3.737235e-03	9.449555e+00
2.100000e-06	-4.891348e-02	9.689032e+00
2.110000e-06	1.497676e-02	9.913113e+00
2.120000e-06	-4.532835e-02	1.015267e+01
